"","picID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12"
"1",4315,"A","A","1","1","1","1","1","1","1","1","1",""
"2",3742,"A","A","1","1","1","1","1","1","1","1","1",""
"3",2896,"A","A","1","1","1","1","1","1","1","1","1",""
"4",2754,"A","A","1","1","1","1","1","1","1","1","1",""
"5",1290,"A","A","1","1","1","1","1","1","1","1","1",""
"6",1404,"A","A","1","1","1","1","1","1","1","1","1",""
"7",3972,"A","A","1","1","1","1","1","1","1","1","1",""
"8",126,"A","A","1","1","1","1","1","1","1","1","1",""
"9",3563,"A","A","1","1","1","1","1","1","1","1","1",""
"10",578,"A","A","1","1","1","1","1","1","1","1","1",""
"11",4206,"A","A","1","1","1","1","1","1","1","1","1",""
"12",2990,"A","A","1","1","1","1","1","1","1","1","1",""
"13",3811,"A","A","1","1","1","1","1","1","1","1","1",""
"14",2287,"A","A","1","1","1","1","1","1","1","1","1",""
"15",1041,"A","A","1","1","1","1","1","1","1","1","1",""
"16",3656,"A","A","1","1","1","1","1","1","1","1","1",""
"17",3800,"A","A","1","1","1","1","1","1","1","1","1",""
"18",1248,"A","A","1","1","1","1","1","1","1","1","1",""
"19",3350,"A","A","1","1","1","1","1","1","1","1","1",""
"20",1713,"A","A","1","1","1","1","1","1","1","1","1",""
"21",4450,"A","A","1","1","1","1","1","1","1","1","1",""
"22",4556,"A","A","1","1","1","1","1","1","1","1","1",""
"23",3527,"A","A","1","1","1","1","1","1","1","1","1",""
"24",1602,"A","A","1","1","1","1","1","1","1","1","1",""
"25",4307,"A","A","1","1","1","1","1","1","1","1","1",""
"26",1334,"A","A","1","1","1","1","1","1","1","1","1",""
"27",2099,"A","A","1","1","1","1","1","1","1","1","1",""
"28",1881,"A","A","1","1","1","1","1","1","1","1","1",""
"29",4468,"A","A","1","1","1","1","1","1","1","1","1",""
"30",3741,"A","A","1","1","1","1","1","1","1","1","1",""
"31",760,"A","A","1","1","1","1","1","1","1","1","1",""
"32",2311,"A","A","1","1","1","1","1","1","1","1","1",""
"33",3516,"A","A","1","1","1","1","1","1","1","1","1",""
"34",3532,"A","A","1","1","1","1","1","1","1","1","1",""
"35",1622,"A","A","1","1","1","1","1","1","1","1","1",""
"36",4435,"A","A","1","1","1","1","1","1","1","1","1",""
"37",533,"A","A","1","1","1","1","1","1","1","1","1",""
"38",3168,"A","A","1","1","1","1","1","1","1","1","1",""
"39",2095,"A","A","1","1","1","1","1","1","1","1","1",""
"40",2511,"A","A","1","1","1","1","1","1","1","1","1",""
"41",4193,"A","A","1","1","1","1","1","1","1","1","1",""
"42",2480,"A","A","1","1","1","1","1","1","1","1","1",""
"43",908,"A","A","1","1","1","1","1","1","1","1","1",""
"44",4539,"A","A","1","1","1","1","1","1","1","1","1",""
"45",3060,"A","A","1","1","1","1","1","1","1","1","1",""
"46",2702,"A","A","1","1","1","1","1","1","1","1","1",""
"47",699,"A","A","1","1","1","1","1","1","1","1","1",""
"48",1889,"A","A","1","1","1","1","1","1","1","1","1",""
"49",1337,"A","A","1","1","1","1","1","1","1","1","1",""
"50",2093,"A","A","1","1","1","1","1","1","1","1","1",""
"51",NA,"A","A","1","1","1","1","1","1","1","1","1",""
